dhsyear,dhsclust,latnum,longnum,quarter,id,left,top,right,bottom
"2000","2414",-0.302818586188,31.5029546637,"4","520",31.501846529,-0.110721607,31.701846529,-0.310721607
"2006","5",-0.169871,31.609709,"2","520",31.501846529,-0.110721607,31.701846529,-0.310721607
"2006","6",-0.199608,31.612805,"2","520",31.501846529,-0.110721607,31.701846529,-0.310721607
"2016","51",-0.135916753274,31.6602425888,"2","520",31.501846529,-0.110721607,31.701846529,-0.310721607
"2000","2408",-0.344178625756,31.5934721824,"4","521",31.501846529,-0.310721607000001,31.701846529,-0.510721607
"2006","8",-0.364765,31.55209,"2","521",31.501846529,-0.310721607000001,31.701846529,-0.510721607
"2011","86",-0.439917,31.669382,"2","521",31.501846529,-0.310721607000001,31.701846529,-0.510721607
"2011","88",-0.334138,31.643582,"3","521",31.501846529,-0.310721607000001,31.701846529,-0.510721607
"2011","92",-0.380237,31.513526,"3","521",31.501846529,-0.310721607000001,31.701846529,-0.510721607
"2016","57",-0.325458698419,31.6251580693,"2","521",31.501846529,-0.310721607000001,31.701846529,-0.510721607
"2000","3505",-0.570273459743,31.6583298706,"4","522",31.501846529,-0.510721607,31.701846529,-0.710721607
"2006","13",-0.585794,31.701791,"2","522",31.501846529,-0.510721607,31.701846529,-0.710721607
"2006","27",-0.561573,31.570126,"2","522",31.501846529,-0.510721607,31.701846529,-0.710721607
"2011","118",-0.555452,31.545267,"3","522",31.501846529,-0.510721607,31.701846529,-0.710721607
"2011","120",-0.586264,31.666526,"3","522",31.501846529,-0.510721607,31.701846529,-0.710721607
"2016","64",-0.631488215446,31.569281254,"3","522",31.501846529,-0.510721607,31.701846529,-0.710721607
"2000","2402",-0.179529802247,31.7643164727,"4","551",31.701846529,-0.110721607,31.901846529,-0.310721607
"2000","2412",-0.171963394217,31.7265272581,"4","551",31.701846529,-0.110721607,31.901846529,-0.310721607
"2011","79",-0.301662,31.766108,"3","551",31.701846529,-0.110721607,31.901846529,-0.310721607
"2011","81",-0.149143,31.887567,"3","551",31.701846529,-0.110721607,31.901846529,-0.310721607
"2016","48",-0.284714262202,31.7590655154,"3","551",31.701846529,-0.110721607,31.901846529,-0.310721607
"2016","49",-0.194976469028,31.8123080284,"3","551",31.701846529,-0.110721607,31.901846529,-0.310721607
"2000","2403",-0.330245559405,31.7398730119,"1","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2000","2404",-0.323762080906,31.7025663378,"1","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2000","2405",-0.325625960094,31.7589761414,"1","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2006","11",-0.321275,31.805038,"3","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2006","12",-0.391236,31.768275,"3","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2016","47",-0.366113969319,31.7184213279,"2","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2016","82",-0.318177293285,31.7410015595,"2","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2016","83",-0.324365548361,31.7609565399,"2","552",31.701846529,-0.310721607000001,31.901846529,-0.510721607
"2000","2409",-0.540541366536,31.8383164082,"1","553",31.701846529,-0.510721607,31.901846529,-0.710721607
