	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_riots_fut	/
			
log_wholesale_maize_uga		-0.903**	
		(0.390)	
anom_tmax12_POS	0.030	0.155	
	(0.024)	(0.172)	
rural_prop	0.002	-0.248***	
	(0.010)	(0.070)	
head_ag_m	-0.018**	-0.059	
	(0.009)	(0.065)	
agri_land_hhds	0.001	-0.017	
	(0.005)	(0.033)	
hh_head_primary	0.021	0.064	
	(0.015)	(0.111)	
share_wmhead_unempl	-0.113	0.830	
	(0.071)	(0.512)	
stunted_ch	-0.000	-0.184**	
	(0.011)	(0.082)	
			
Observations	457	457	457
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
