	(1)	(2)	(3)
VARIABLES	stunted_ch	log_vac_fut	/
			
stunted_ch		0.004	
		(0.057)	
dummy_rain12_neg	-0.010	0.069**	
	(0.018)	(0.032)	
rural_prop	0.070***	-0.019	
	(0.016)	(0.028)	
dummy_wmhead_unempl	-0.019	0.066***	
	(0.012)	(0.022)	
HH_with_improved_tiolet	-0.179**	0.391***	
	(0.085)	(0.150)	
log_vac_pres	-0.006	0.661***	
	(0.023)	(0.039)	
underwht_ch	0.565***	0.064	
	(0.038)	(0.075)	
No_min_diet_diversity_hh	0.046*	0.027	
	(0.028)	(0.050)	
			(.)
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
