	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		1.046**	
		(0.461)	
anom_rain9_NEG	0.033*	0.216	
	(0.018)	(0.153)	
rural_prop	0.005	-0.049	
	(0.010)	(0.080)	
agri_land_hhds	-0.080***	-0.162	
	(0.017)	(0.150)	
hh_head_primary	0.019	-0.324**	
	(0.017)	(0.156)	
share_wmhead_unempl	-0.109	-0.287	
	(0.069)	(0.568)	
stunted_ch	0.002	-0.007	
	(0.014)	(0.119)	
log_battles_pres	0.018	0.152	
	(0.018)	(0.153)	
			
Observations	375	375	375
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
