	(1)	(2)	(3)
VARIABLES	stunted_ch	log_riots_fut	/
			
stunted_ch		-0.026	
		(0.044)	
anom_rain9_POS	0.025	-0.059	
	(0.054)	(0.076)	
rural_prop	0.069***	-0.051**	
	(0.016)	(0.023)	
dummy_wmhead_unempl	-0.018	0.057***	
	(0.012)	(0.017)	
HH_with_improved_tiolet	-0.174**	0.262**	
	(0.084)	(0.119)	
log_riots_pres	-0.040	-0.120	
	(0.148)	(0.206)	
underwht_ch	0.564***	0.032	
	(0.038)	(0.059)	
No_min_diet_diversity_hh	0.046*	0.057	
	(0.028)	(0.039)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
