	(1)	(2)	(3)
VARIABLES	stunted_ch	log_vac_fut	/
			
stunted_ch		-0.001	
		(0.057)	
anom_rain12_POS	0.034	-0.687***	
	(0.090)	(0.159)	
rural_prop	0.070***	-0.017	
	(0.016)	(0.028)	
dummy_wmhead_unempl	-0.019	0.068***	
	(0.012)	(0.022)	
HH_with_improved_tiolet	-0.180**	0.402***	
	(0.085)	(0.149)	
log_vac_pres	-0.007	0.650***	
	(0.023)	(0.039)	
underwht_ch	0.565***	0.059	
	(0.038)	(0.074)	
No_min_diet_diversity_hh	0.046*	0.029	
	(0.028)	(0.049)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
