	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_battles_fut	/
			
log_wholesale_maize_uga		0.733*	
		(0.415)	
anom_tmax6_POS	-0.043***	-0.337***	
	(0.014)	(0.129)	
rural_prop	-0.009	-0.072	
	(0.007)	(0.065)	
agri_land_hhds	-0.002	-0.021	
	(0.004)	(0.041)	
hh_head_primary	0.001	-0.483***	
	(0.013)	(0.128)	
share_wmhead_unempl	-0.077	-0.277	
	(0.058)	(0.537)	
stunted_ch	0.002	0.146	
	(0.010)	(0.097)	
log_battles_pres	-0.009	0.426***	
	(0.011)	(0.105)	
			
Observations	506	506	506
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
