	(1)	(2)	(3)
VARIABLES	stunted_ch	log_battles_fut	/
			
stunted_ch		0.119**	
		(0.059)	
anom_tmax12_POS	-0.011	0.083	
	(0.051)	(0.096)	
rural_prop	0.071***	-0.031	
	(0.016)	(0.030)	
dummy_wmhead_unempl	-0.019	0.058**	
	(0.012)	(0.023)	
HH_with_improved_tiolet	-0.185**	0.170	
	(0.085)	(0.160)	
log_battles_pres	-0.002	0.259***	
	(0.031)	(0.057)	
underwht_ch	0.566***	0.000	
	(0.038)	(0.078)	
No_min_diet_diversity_hh	0.046	0.000	
	(0.028)	(0.052)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
