	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_vac_fut	/
			
log_wholesale_maize_uga		-0.457	
		(0.432)	
anom_rain3_NEG	0.080***	0.112	
	(0.010)	(0.092)	
rural_prop	-0.006	-0.084	
	(0.007)	(0.061)	
head_ag_m	-0.009	-0.122*	
	(0.008)	(0.071)	
agri_land_hhds	-0.001	-0.048	
	(0.004)	(0.037)	
hh_head_primary	0.016	-0.260**	
	(0.013)	(0.121)	
share_wmhead_unempl	-0.079	0.122	
	(0.055)	(0.480)	
stunted_ch	-0.007	-0.008	
	(0.010)	(0.089)	
log_vac_pres	-0.003	0.680***	
	(0.007)	(0.055)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
