	(1)	(2)	(3)
VARIABLES	log_wholesale_maize_uga	log_vac_fut	/
			
log_wholesale_maize_uga		-0.408	
		(0.430)	
anom_tmax3_POS	-0.058***	-0.141	
	(0.010)	(0.092)	
rural_prop	-0.002	-0.073	
	(0.007)	(0.061)	
head_ag_m	-0.011	-0.123*	
	(0.008)	(0.071)	
agri_land_hhds	0.000	-0.045	
	(0.004)	(0.037)	
hh_head_primary	0.017	-0.261**	
	(0.014)	(0.121)	
share_wmhead_unempl	-0.082	0.158	
	(0.057)	(0.481)	
stunted_ch	0.005	0.013	
	(0.010)	(0.089)	
log_vac_pres	-0.006	0.680***	
	(0.007)	(0.056)	
			
Observations	493	493	493
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
