"","DHSYEAR","DHSCLUST","DHSQUARTER","LONGNUM","LATNUM","riots_present_number_of_conflicts","riots_future_number_of_conflicts"
"1",2000,101,1,32.6413769369,2.34240626841,0,0
"2",2000,102,1,32.6586779904,2.18839338196,0,0
"3",2000,103,1,32.8716008121,2.0498846412,0,0
"4",2000,104,1,32.764045004,2.11280641764,0,0
"5",2000,105,1,32.5395083469,2.1151642156,0,0
"6",2000,106,1,32.2964201245,2.24377122876,0,0
"7",2000,107,1,32.557902681,2.20274736345,0,0
"8",2000,108,1,32.5350336851,2.50252362348,0,0
"9",2000,202,1,30.9228948141,3.02859209382,0,0
"10",2000,203,4,31.2806554156,3.56763032773,0,0
"11",2000,204,1,30.9261319397,3.02511404707,0,0
"12",2000,206,1,31.2173642741,2.67647710187,0,0
"13",2000,207,4,30.9015252525,3.32699774538,0,0
"14",2000,208,1,31.1713497843,3.15789840231,0,0
"15",2000,209,1,31.0070241736,2.88510936386,0,0
"16",2000,401,4,30.1787821564,-0.534150657251,0,0
"17",2000,402,4,30.3424033306,-0.295160875037,0,0
"18",2000,403,4,30.2128214291,-0.214533867096,0,0
"19",2000,404,4,30.144266262,-0.617767142412,0,0
"20",2000,405,4,30.2610138076,-0.578473719291,0,0
"21",2000,406,1,30.1900128329,-0.790075733052,0,0
"22",2000,407,4,30.0487529489,-0.70509601184,0,0
"23",2000,408,4,30.1133618469,-0.670748940254,0,0
"24",2000,409,1,30.0417681472,-1.03300510515,0,0
"25",2000,410,4,30.4407568792,-0.508090256758,0,0
"26",2000,601,4,31.4462069977,1.31539703372,0,0
"27",2000,602,4,31.4237058531,1.48398708748,0,0
"28",2000,603,4,31.3291472626,1.35808932682,0,0
"29",2000,701,1,33.6246715939,0.781845380212,0,0
"30",2000,702,1,33.4552420738,0.610218832125,0,0
"31",2000,703,1,33.6840705681,0.658249876413,0,0
"32",2000,704,1,33.6772144718,0.743227266828,0,0
"33",2000,705,1,33.9172005752,0.210337601498,0,0
"34",2000,708,1,33.4691493491,0.389857148411,0,0
"35",2000,709,1,33.5496676756,0.381310560401,0,0
"36",2000,710,1,33.6826427726,0.754279970046,0,0
"37",2000,712,1,33.4318850133,0.75125803104,0,0
"38",2000,713,1,33.489507156,0.678771855349,0,0
"39",2000,714,1,33.3380524689,0.718612434005,0,0
"40",2000,801,4,33.2804696078,0.512655746258,0,0
"41",2000,802,3,33.2100142458,0.440454425078,0,0
"42",2000,802,4,33.2100142458,0.440454425078,0,0
"43",2000,803,3,33.2042478926,0.428140239447,0,0
"44",2000,803,4,33.2042478926,0.428140239447,0,0
"45",2000,804,3,33.2099672256,0.41700523191,0,0
"46",2000,804,4,33.2099672256,0.41700523191,0,0
"47",2000,805,4,33.2223282737,0.461426904949,0,0
"48",2000,806,4,33.2009775485,0.43522171539,0,0
"49",2000,807,4,33.2150917559,0.568568228861,0,0
"50",2000,808,4,33.21399954,0.427956579467,0,0
"51",2000,809,4,33.2058246301,0.505037351336,0,0
"52",2000,810,3,33.2264512281,0.568568009087,0,0
"53",2000,810,4,33.2264512281,0.568568009087,0,0
"54",2000,901,4,30.0051012059,-1.2669297345,0,0
"55",2000,902,4,29.9742230526,-1.2692087034,0,0
"56",2000,903,4,29.9800142491,-1.37804552446,0,0
"57",2000,904,4,29.9518774987,-1.19205106665,0,0
"58",2000,905,4,29.8113115125,-1.04592260473,0,0
"59",2000,906,4,30.0311750259,-1.10808010092,0,0
"60",2000,908,4,30.0040421476,-1.28310528026,0,0
"61",2000,909,4,30.0940306878,-1.36809283324,0,0
"62",2000,910,4,29.8968156062,-1.308647173,0,0
"63",2000,911,4,30.1016849447,-1.1819591186,0,0
"64",2000,1002,4,30.2883361877,0.655037820712,0,0
"65",2000,1003,4,30.224788148,0.508929858653,0,0
"66",2000,1004,4,30.1962833142,0.675129026878,0,0
"67",2000,1005,4,30.2711977921,0.597953717825,0,0
"68",2000,1006,4,30.4261127289,0.428540072176,0,0
"69",2000,1007,4,30.4596231268,0.29569343593,0,0
"70",2000,1008,4,30.3615873617,-0.0871517903144,0,0
"71",2000,1009,4,30.9207026209,0.63631999725,0,0
"72",2000,1010,4,30.4852138203,0.692001763919,0,0
"73",2000,1011,4,30.6414176138,0.708807667047,0,0
"74",2000,1012,4,30.6222622327,0.479162772709,0,0
"75",2000,1101,1,32.3807837749,-0.377074304202,0,0
"76",2000,1102,1,32.2327147165,-0.544341639599,0,0
"77",2000,1201,4,32.9787305376,0.52632501665,0,0
"78",2000,1202,4,32.9812330351,0.568060656296,0,0
"79",2000,1204,4,32.559614016,0.308850566954,0,0
"80",2000,1205,4,32.9445288522,0.527777519368,0,0
"81",2000,1206,4,32.5553232224,0.343371092314,0,0
"82",2000,1207,4,32.5666607292,0.378677678898,0,0
"83",2000,1208,4,32.921593108,0.630168192992,0,0
"84",2000,1209,4,32.9619821099,0.584558358019,0,0
"85",2000,1210,4,32.5647915485,0.321522204921,0,0
"86",2000,1211,4,32.5831735467,0.350483379479,0,0
"87",2000,1212,4,32.5796009566,0.348285913042,0,0
"88",2000,1213,1,32.635763136,0.258977890068,0,0
"89",2000,1214,4,32.9989293191,0.510347929552,0,0
"90",2000,1215,4,32.5813459584,0.293246754084,0,0
"91",2000,1216,4,33.0019166339,0.523329275871,0,0
"92",2000,1217,4,32.9548258041,0.483596702187,0,0
"93",2000,1218,1,32.5931358231,0.306692787366,0,0
"94",2000,1219,4,32.9638447763,0.475815895199,0,0
"95",2000,1220,4,32.988259676,0.514048759127,0,0
"96",2000,1221,1,32.5943505007,0.314913760867,0,0
"97",2000,1222,4,32.5956545501,0.353594959398,0,0
"98",2000,1223,4,32.6178463196,0.324744825903,0,0
"99",2000,1224,4,32.621685128,0.318656290045,0,0
"100",2000,1225,4,32.6367811907,0.315874212582,0,0
"101",2000,1226,4,32.6071425349,0.313978697064,0,0
"102",2000,1227,4,32.9320451094,0.479838870425,0,0
"103",2000,1228,4,32.9109529349,0.547540665916,0,0
"104",2000,1229,4,32.5462205068,0.333017542922,0,0
"105",2000,1230,4,32.5390366068,0.267648500839,0,0
"106",2000,1231,4,32.5558474922,0.34090682475,0,0
"107",2000,1232,4,32.9318794445,0.520466811169,0,0
"108",2000,1233,4,32.5531433752,0.292303751388,0,0
"109",2000,1234,4,32.5465215804,0.292398002193,0,0
"110",2000,1301,1,33.1299428208,0.931463083364,0,0
"111",2000,1302,1,33.2052711993,1.08608452513,0,0
"112",2000,1303,1,33.3472047804,1.14201208687,0,0
"113",2000,1304,1,32.8371983804,1.43201610719,0,0
"114",2000,1305,1,32.9874837266,1.28350166158,0,0
"115",2000,1306,1,33.279263013,0.839269751626,0,0
"116",2000,1307,1,33.1838943738,0.894757261162,0,0
"117",2000,1308,1,33.1586849983,1.02973303948,0,0
"118",2000,1309,1,33.194549284,0.906765949057,0,0
"119",2000,1310,1,33.4489130881,1.01917644027,0,0
"120",2000,1311,1,33.482784379,0.914696666514,0,0
"121",2000,1312,1,33.4717964718,1.05794994954,0,0
"122",2000,1313,4,33.0961231815,0.790796782818,0,0
"123",2000,1314,4,33.0621619146,0.669846110675,0,0
"124",2000,1315,1,33.2501214745,0.760723443597,0,0
"125",2000,1401,1,34.7090995938,1.3184914685,0,0
"126",2000,1402,1,34.4865306418,1.40535319517,0,0
"127",2000,1603,1,30.938020703,0.978525397554,0,0
"128",2000,1604,1,30.4970169121,0.106233215122,0,0
"129",2000,1701,1,31.7434328595,0.911455800407,0,0
"130",2000,1702,1,31.7155213675,0.791947449905,0,0
"131",2000,1801,4,29.7473577606,-1.13408472008,0,0
"132",2000,1802,4,29.6048173669,-1.14511593724,0,0
"133",2000,1803,4,29.6223488704,-1.26449598013,0,0
"134",2000,1804,4,29.7168873174,-1.14639774397,0,0
"135",2000,1805,4,29.7001198384,-1.25525709495,0,0
"136",2000,1806,4,29.71153804,-1.26411976146,0,0
"137",2000,1807,4,29.683357066,-1.34072909995,0,0
"138",2000,1808,4,29.7028281566,-1.26419877394,0,0
"139",2000,2001,4,34.1071901502,2.99578603042,0,0
"140",2000,2002,4,34.2088562226,3.6180327086,0,0
"141",2000,2003,4,34.1607087981,3.61680141654,0,0
"142",2000,2101,4,34.1131374642,1.22546324838,0,0
"143",2000,2102,4,33.9303432128,1.35889538672,0,0
"144",2000,2103,4,33.7432597585,1.3870159057,0,0
"145",2000,2202,4,32.9042291862,2.22562517271,0,0
"146",2000,2204,4,32.9643599026,2.28461048311,0,0
"147",2000,2206,4,32.9915529957,1.73038030328,0,0
"148",2000,2208,4,33.2424902968,2.16978730443,0,0
"149",2000,2209,4,33.4174732321,2.43113312036,0,0
"150",2000,2301,1,32.4578368913,1.30972630362,0,0
"151",2000,2302,1,32.4775538672,0.833913694457,0,0
"152",2000,2304,1,32.5997634992,-0.766133352626,0,0
"153",2000,2305,1,31.2698721,0.67012854,0,0
"154",2000,2306,1,31.2994307005,0.552131505891,0,0
"155",2000,2307,1,32.631869561,0.927627141715,0,0
"156",2000,2401,1,31.4726528653,-0.384765994326,0,0
"157",2000,2402,4,31.7643164727,-0.179529802247,0,0
"158",2000,2403,1,31.7398730119,-0.330245559405,0,0
"159",2000,2404,1,31.7025663378,-0.323762080906,0,0
"160",2000,2405,1,31.7589761414,-0.325625960094,0,0
"161",2000,2406,4,31.6516829656,0.0988631669941,0,0
"162",2000,2407,1,31.555185435,0.05234396635,0,0
"163",2000,2407,4,31.555185435,0.05234396635,0,0
"164",2000,2408,4,31.5934721824,-0.344178625756,0,0
"165",2000,2409,1,31.8383164082,-0.540541366536,0,0
"166",2000,2410,4,31.4986003999,-0.420374850803,0,0
"167",2000,2411,1,31.2955974369,-0.330481372679,0,0
"168",2000,2412,4,31.7265272581,-0.171963394217,0,0
"169",2000,2413,1,31.8524653417,-0.0404863200766,0,0
"170",2000,2414,4,31.5029546637,-0.302818586188,0,0
"171",2000,2501,4,31.941612476,1.82263968867,0,0
"172",2000,2502,1,31.5242298743,1.67301614272,0,0
"173",2000,2504,1,31.7269783705,1.91183576017,0,0
"174",2000,2601,4,34.3383814969,1.23895942194,0,0
"175",2000,2602,4,34.1922128361,1.10160921678,0,0
"176",2000,2603,4,34.2038229551,1.06390799272,0,0
"177",2000,2604,4,34.3530237181,0.951692805104,0,0
"178",2000,2605,4,34.2267453763,1.09870276462,0,0
"179",2000,2606,4,34.3848363572,1.17917444085,0,0
"180",2000,2607,4,34.2918110504,1.15572826779,0,0
"181",2000,2608,4,34.1867556709,1.02667558736,0,0
"182",2000,2609,4,34.1917844177,1.05180864205,0,0
"183",2000,2610,4,34.1624290472,1.13395522861,0,0
"184",2000,2611,4,34.3755117723,1.04133795652,0,0
"185",2000,2701,1,30.6666600013,-0.605613569458,0,0
"186",2000,2702,1,30.6595425981,-0.591661287553,0,0
"187",2000,2703,1,30.6249944548,-0.62442359615,0,0
"188",2000,2704,1,30.6501904458,-0.640669475734,0,0
"189",2000,2705,1,31.1709890269,-0.965682840088,0,0
"190",2000,2706,1,30.4061419217,-0.00869275339211,0,0
"191",2000,2707,1,30.4661102293,-0.189774674694,0,0
"192",2000,2708,1,30.6734672543,-0.643792809375,0,0
